TmMin	IdleSz	NeedChgQSz	mssnQSz	NumChg	V0	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19
0	20	0	0	3	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-DELTA	IDLE-DELTA	IDLE-ECHO	IDLE-ECHO	IDLE-ECHO	IDLE-ECHO	
0	19	0	0	3	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-1-0	IDLE-DELTA	IDLE-ECHO	IDLE-ECHO	IDLE-ECHO	IDLE-ECHO	
1	18	0	0	3	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-0	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-1-1	IDLE-DELTA	IDLE-ECHO	IDLE-ECHO	IDLE-ECHO	IDLE-ECHO	
2	17	0	0	3	IN_FLIGHT-3-0	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-1	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-1-2	IDLE-DELTA	IDLE-ECHO	IDLE-ECHO	IDLE-ECHO	IDLE-ECHO	
3	16	0	0	3	IN_FLIGHT-3-1	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-2	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-1-3	IDLE-DELTA	IDLE-ECHO	IN_FLIGHT-1-0	IDLE-ECHO	IDLE-ECHO	
4	15	0	0	3	IN_FLIGHT-3-2	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-0	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-3	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-1-4	IDLE-DELTA	IDLE-ECHO	IN_FLIGHT-1-1	IDLE-ECHO	IDLE-ECHO	
5	14	0	0	3	IN_FLIGHT-3-3	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-1	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-4	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-1-5	IDLE-DELTA	IDLE-ECHO	IN_FLIGHT-1-2	IDLE-ECHO	IN_FLIGHT-1-0	
6	13	0	0	3	IN_FLIGHT-3-4	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-2	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-5	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-0	IDLE-CHARLIE	IN_FLIGHT-1-6	IDLE-DELTA	IDLE-ECHO	IN_FLIGHT-1-3	IDLE-ECHO	IN_FLIGHT-1-1	
7	12	0	0	3	IN_FLIGHT-3-5	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-3	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-6	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-1	IDLE-CHARLIE	IN_FLIGHT-1-7	IDLE-DELTA	IDLE-ECHO	IN_FLIGHT-1-4	IN_FLIGHT-1-0	IN_FLIGHT-1-2	
8	11	0	0	3	IN_FLIGHT-3-6	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-4	IDLE-BRAVO	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-7	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-2	IDLE-CHARLIE	IN_FLIGHT-1-8	IDLE-DELTA	IN_FLIGHT-1-0	IN_FLIGHT-1-5	IN_FLIGHT-1-1	IN_FLIGHT-1-3	
9	10	0	0	3	IN_FLIGHT-3-7	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-5	IN_FLIGHT-4-0	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-8	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-3	IDLE-CHARLIE	IN_FLIGHT-1-9	IDLE-DELTA	IN_FLIGHT-1-1	IN_FLIGHT-1-6	IN_FLIGHT-1-2	IN_FLIGHT-1-4	
10	9	0	0	3	IN_FLIGHT-3-8	IN_FLIGHT-3-0	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-6	IN_FLIGHT-4-1	IDLE-BRAVO	IDLE-BRAVO	IN_FLIGHT-2-9	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-4	IDLE-CHARLIE	IN_FLIGHT-1-10	IDLE-DELTA	IN_FLIGHT-1-2	IN_FLIGHT-1-7	IN_FLIGHT-1-3	IN_FLIGHT-1-5	
11	8	0	0	3	IN_FLIGHT-3-9	IN_FLIGHT-3-1	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-7	IN_FLIGHT-4-2	IN_FLIGHT-4-0	IDLE-BRAVO	IN_FLIGHT-2-10	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-5	IDLE-CHARLIE	IN_FLIGHT-1-11	IDLE-DELTA	IN_FLIGHT-1-3	IN_FLIGHT-1-8	IN_FLIGHT-1-4	IN_FLIGHT-1-6	
12	7	0	0	3	IN_FLIGHT-3-10	IN_FLIGHT-3-2	IN_FLIGHT-3-0	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-8	IN_FLIGHT-4-3	IN_FLIGHT-4-1	IDLE-BRAVO	IN_FLIGHT-2-11	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-6	IDLE-CHARLIE	IN_FLIGHT-1-12	IDLE-DELTA	IN_FLIGHT-1-4	IN_FLIGHT-1-9	IN_FLIGHT-1-5	IN_FLIGHT-1-7	
13	6	0	0	3	IN_FLIGHT-3-11	IN_FLIGHT-3-3	IN_FLIGHT-3-1	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-9	IN_FLIGHT-4-4	IN_FLIGHT-4-2	IDLE-BRAVO	IN_FLIGHT-2-12	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-7	IN_FLIGHT-2-0	IN_FLIGHT-1-13	IDLE-DELTA	IN_FLIGHT-1-5	IN_FLIGHT-1-10	IN_FLIGHT-1-6	IN_FLIGHT-1-8	
14	5	0	0	3	IN_FLIGHT-3-12	IN_FLIGHT-3-4	IN_FLIGHT-3-2	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-10	IN_FLIGHT-4-5	IN_FLIGHT-4-3	IDLE-BRAVO	IN_FLIGHT-2-13	IDLE-CHARLIE	IN_FLIGHT-2-0	IN_FLIGHT-2-8	IN_FLIGHT-2-1	IN_FLIGHT-1-14	IDLE-DELTA	IN_FLIGHT-1-6	IN_FLIGHT-1-11	IN_FLIGHT-1-7	IN_FLIGHT-1-9	
15	4	0	0	3	IN_FLIGHT-3-13	IN_FLIGHT-3-5	IN_FLIGHT-3-3	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-11	IN_FLIGHT-4-6	IN_FLIGHT-4-4	IDLE-BRAVO	IN_FLIGHT-2-14	IDLE-CHARLIE	IN_FLIGHT-2-1	IN_FLIGHT-2-9	IN_FLIGHT-2-2	IN_FLIGHT-1-15	IN_FLIGHT-1-0	IN_FLIGHT-1-7	IN_FLIGHT-1-12	IN_FLIGHT-1-8	IN_FLIGHT-1-10	
16	3	0	0	3	IN_FLIGHT-3-14	IN_FLIGHT-3-6	IN_FLIGHT-3-4	IN_FLIGHT-3-0	IDLE-ALPHA	IN_FLIGHT-4-12	IN_FLIGHT-4-7	IN_FLIGHT-4-5	IDLE-BRAVO	IN_FLIGHT-2-15	IDLE-CHARLIE	IN_FLIGHT-2-2	IN_FLIGHT-2-10	IN_FLIGHT-2-3	IN_FLIGHT-1-16	IN_FLIGHT-1-1	IN_FLIGHT-1-8	IN_FLIGHT-1-13	IN_FLIGHT-1-9	IN_FLIGHT-1-11	
17	2	0	0	3	IN_FLIGHT-3-15	IN_FLIGHT-3-7	IN_FLIGHT-3-5	IN_FLIGHT-3-1	IDLE-ALPHA	IN_FLIGHT-4-13	IN_FLIGHT-4-8	IN_FLIGHT-4-6	IN_FLIGHT-4-0	IN_FLIGHT-2-16	IDLE-CHARLIE	IN_FLIGHT-2-3	IN_FLIGHT-2-11	IN_FLIGHT-2-4	IN_FLIGHT-1-17	IN_FLIGHT-1-2	IN_FLIGHT-1-9	IN_FLIGHT-1-14	IN_FLIGHT-1-10	IN_FLIGHT-1-12	
18	1	0	0	3	IN_FLIGHT-3-16	IN_FLIGHT-3-8	IN_FLIGHT-3-6	IN_FLIGHT-3-2	IDLE-ALPHA	IN_FLIGHT-4-14	IN_FLIGHT-4-9	IN_FLIGHT-4-7	IN_FLIGHT-4-1	IN_FLIGHT-2-17	IN_FLIGHT-1-0	IN_FLIGHT-2-4	IN_FLIGHT-2-12	IN_FLIGHT-2-5	IN_FLIGHT-1-18	IN_FLIGHT-1-3	IN_FLIGHT-1-10	IN_FLIGHT-1-15	IN_FLIGHT-1-11	IN_FLIGHT-1-13	
19	0	0	0	3	IN_FLIGHT-3-17	IN_FLIGHT-3-9	IN_FLIGHT-3-7	IN_FLIGHT-3-3	IN_FLIGHT-1-0	IN_FLIGHT-4-15	IN_FLIGHT-4-10	IN_FLIGHT-4-8	IN_FLIGHT-4-2	IN_FLIGHT-2-18	IN_FLIGHT-1-1	IN_FLIGHT-2-5	IN_FLIGHT-2-13	IN_FLIGHT-2-6	IN_FLIGHT-1-19	IN_FLIGHT-1-4	IN_FLIGHT-1-11	IN_FLIGHT-1-16	IN_FLIGHT-1-12	IN_FLIGHT-1-14	
20	0	0	1	3	IN_FLIGHT-3-18	IN_FLIGHT-3-10	IN_FLIGHT-3-8	IN_FLIGHT-3-4	IN_FLIGHT-1-1	IN_FLIGHT-4-16	IN_FLIGHT-4-11	IN_FLIGHT-4-9	IN_FLIGHT-4-3	IN_FLIGHT-2-19	IN_FLIGHT-1-2	IN_FLIGHT-2-6	IN_FLIGHT-2-14	IN_FLIGHT-2-7	IN_FLIGHT-1-20	IN_FLIGHT-1-5	IN_FLIGHT-1-12	IN_FLIGHT-1-17	IN_FLIGHT-1-13	IN_FLIGHT-1-15	
21	0	0	2	3	IN_FLIGHT-3-19	IN_FLIGHT-3-11	IN_FLIGHT-3-9	IN_FLIGHT-3-5	IN_FLIGHT-1-2	IN_FLIGHT-4-17	IN_FLIGHT-4-12	IN_FLIGHT-4-10	IN_FLIGHT-4-4	IN_FLIGHT-2-20	IN_FLIGHT-1-3	IN_FLIGHT-2-7	IN_FLIGHT-2-15	IN_FLIGHT-2-8	IN_FLIGHT-1-21	IN_FLIGHT-1-6	IN_FLIGHT-1-13	IN_FLIGHT-1-18	IN_FLIGHT-1-14	IN_FLIGHT-1-16	
22	0	0	3	3	IN_FLIGHT-3-20	IN_FLIGHT-3-12	IN_FLIGHT-3-10	IN_FLIGHT-3-6	IN_FLIGHT-1-3	IN_FLIGHT-4-18	IN_FLIGHT-4-13	IN_FLIGHT-4-11	IN_FLIGHT-4-5	IN_FLIGHT-2-21	IN_FLIGHT-1-4	IN_FLIGHT-2-8	IN_FLIGHT-2-16	IN_FLIGHT-2-9	IN_FLIGHT-1-22	IN_FLIGHT-1-7	IN_FLIGHT-1-14	IN_FLIGHT-1-19	IN_FLIGHT-1-15	IN_FLIGHT-1-17	
23	0	0	4	3	IN_FLIGHT-3-21	IN_FLIGHT-3-13	IN_FLIGHT-3-11	IN_FLIGHT-3-7	IN_FLIGHT-1-4	IN_FLIGHT-4-19	IN_FLIGHT-4-14	IN_FLIGHT-4-12	IN_FLIGHT-4-6	IN_FLIGHT-2-22	IN_FLIGHT-1-5	IN_FLIGHT-2-9	IN_FLIGHT-2-17	IN_FLIGHT-2-10	IN_FLIGHT-1-23	IN_FLIGHT-1-8	IN_FLIGHT-1-15	IN_FLIGHT-1-20	IN_FLIGHT-1-16	IN_FLIGHT-1-18	
24	0	0	5	3	IN_FLIGHT-3-22	IN_FLIGHT-3-14	IN_FLIGHT-3-12	IN_FLIGHT-3-8	IN_FLIGHT-1-5	IN_FLIGHT-4-20	IN_FLIGHT-4-15	IN_FLIGHT-4-13	IN_FLIGHT-4-7	IN_FLIGHT-2-23	IN_FLIGHT-1-6	IN_FLIGHT-2-10	IN_FLIGHT-2-18	IN_FLIGHT-2-11	IN_FLIGHT-1-24	IN_FLIGHT-1-9	IN_FLIGHT-1-16	IN_FLIGHT-1-21	IN_FLIGHT-1-17	IN_FLIGHT-1-19	
25	0	0	6	3	IN_FLIGHT-3-23	IN_FLIGHT-3-15	IN_FLIGHT-3-13	IN_FLIGHT-3-9	IN_FLIGHT-1-6	IN_FLIGHT-4-21	IN_FLIGHT-4-16	IN_FLIGHT-4-14	IN_FLIGHT-4-8	IN_FLIGHT-2-24	IN_FLIGHT-1-7	IN_FLIGHT-2-11	IN_FLIGHT-2-19	IN_FLIGHT-2-12	IN_FLIGHT-1-25	IN_FLIGHT-1-10	IN_FLIGHT-1-17	IN_FLIGHT-1-22	IN_FLIGHT-1-18	IN_FLIGHT-1-20	
26	0	0	7	3	IN_FLIGHT-3-24	IN_FLIGHT-3-16	IN_FLIGHT-3-14	IN_FLIGHT-3-10	IN_FLIGHT-1-7	IN_FLIGHT-4-22	IN_FLIGHT-4-17	IN_FLIGHT-4-15	IN_FLIGHT-4-9	IN_FLIGHT-2-25	IN_FLIGHT-1-8	IN_FLIGHT-2-12	IN_FLIGHT-2-20	IN_FLIGHT-2-13	IN_FLIGHT-1-26	IN_FLIGHT-1-11	IN_FLIGHT-1-18	IN_FLIGHT-1-23	IN_FLIGHT-1-19	IN_FLIGHT-1-21	
27	0	0	8	3	IN_FLIGHT-3-25	IN_FLIGHT-3-17	IN_FLIGHT-3-15	IN_FLIGHT-3-11	IN_FLIGHT-1-8	IN_FLIGHT-4-23	IN_FLIGHT-4-18	IN_FLIGHT-4-16	IN_FLIGHT-4-10	IN_FLIGHT-2-26	IN_FLIGHT-1-9	IN_FLIGHT-2-13	IN_FLIGHT-2-21	IN_FLIGHT-2-14	IN_FLIGHT-1-27	IN_FLIGHT-1-12	IN_FLIGHT-1-19	IN_FLIGHT-1-24	IN_FLIGHT-1-20	IN_FLIGHT-1-22	
28	0	0	9	3	IN_FLIGHT-3-26	IN_FLIGHT-3-18	IN_FLIGHT-3-16	IN_FLIGHT-3-12	IN_FLIGHT-1-9	IN_FLIGHT-4-24	IN_FLIGHT-4-19	IN_FLIGHT-4-17	IN_FLIGHT-4-11	IN_FLIGHT-2-27	IN_FLIGHT-1-10	IN_FLIGHT-2-14	IN_FLIGHT-2-22	IN_FLIGHT-2-15	IN_FLIGHT-1-28	IN_FLIGHT-1-13	IN_FLIGHT-1-20	IN_FLIGHT-1-25	IN_FLIGHT-1-21	IN_FLIGHT-1-23	
29	0	0	10	3	IN_FLIGHT-3-27	IN_FLIGHT-3-19	IN_FLIGHT-3-17	IN_FLIGHT-3-13	IN_FLIGHT-1-10	IN_FLIGHT-4-25	IN_FLIGHT-4-20	IN_FLIGHT-4-18	IN_FLIGHT-4-12	IN_FLIGHT-2-28	IN_FLIGHT-1-11	IN_FLIGHT-2-15	IN_FLIGHT-2-23	IN_FLIGHT-2-16	IN_FLIGHT-1-29	IN_FLIGHT-1-14	IN_FLIGHT-1-21	IN_FLIGHT-1-26	IN_FLIGHT-1-22	IN_FLIGHT-1-24	
30	0	0	11	3	IN_FLIGHT-3-28	IN_FLIGHT-3-20	IN_FLIGHT-3-18	IN_FLIGHT-3-14	IN_FLIGHT-1-11	IN_FLIGHT-4-26	IN_FLIGHT-4-21	IN_FLIGHT-4-19	IN_FLIGHT-4-13	IN_FLIGHT-2-29	IN_FLIGHT-1-12	IN_FLIGHT-2-16	IN_FLIGHT-2-24	IN_FLIGHT-2-17	IN_FLIGHT-1-30	IN_FLIGHT-1-15	IN_FLIGHT-1-22	IN_FLIGHT-1-27	IN_FLIGHT-1-23	IN_FLIGHT-1-25	
31	0	0	12	3	IN_FLIGHT-3-29	IN_FLIGHT-3-21	IN_FLIGHT-3-19	IN_FLIGHT-3-15	IN_FLIGHT-1-12	IN_FLIGHT-4-27	IN_FLIGHT-4-22	IN_FLIGHT-4-20	IN_FLIGHT-4-14	IN_FLIGHT-2-30	IN_FLIGHT-1-13	IN_FLIGHT-2-17	IN_FLIGHT-2-25	IN_FLIGHT-2-18	IN_FLIGHT-1-31	IN_FLIGHT-1-16	IN_FLIGHT-1-23	IN_FLIGHT-1-28	IN_FLIGHT-1-24	IN_FLIGHT-1-26	
32	0	0	13	3	IN_FLIGHT-3-30	IN_FLIGHT-3-22	IN_FLIGHT-3-20	IN_FLIGHT-3-16	IN_FLIGHT-1-13	IN_FLIGHT-4-28	IN_FLIGHT-4-23	IN_FLIGHT-4-21	IN_FLIGHT-4-15	IN_FLIGHT-2-31	IN_FLIGHT-1-14	IN_FLIGHT-2-18	IN_FLIGHT-2-26	IN_FLIGHT-2-19	IN_FLIGHT-1-32	IN_FLIGHT-1-17	IN_FLIGHT-1-24	IN_FLIGHT-1-29	IN_FLIGHT-1-25	IN_FLIGHT-1-27	
33	0	0	14	3	IN_FLIGHT-3-31	IN_FLIGHT-3-23	IN_FLIGHT-3-21	IN_FLIGHT-3-17	IN_FLIGHT-1-14	IN_FLIGHT-4-29	IN_FLIGHT-4-24	IN_FLIGHT-4-22	IN_FLIGHT-4-16	IN_FLIGHT-2-32	IN_FLIGHT-1-15	IN_FLIGHT-2-19	IN_FLIGHT-2-27	IN_FLIGHT-2-20	IN_FLIGHT-1-33	IN_FLIGHT-1-18	IN_FLIGHT-1-25	IN_FLIGHT-1-30	IN_FLIGHT-1-26	IN_FLIGHT-1-28	
34	0	0	15	3	IN_FLIGHT-3-32	IN_FLIGHT-3-24	IN_FLIGHT-3-22	IN_FLIGHT-3-18	IN_FLIGHT-1-15	IN_FLIGHT-4-30	IN_FLIGHT-4-25	IN_FLIGHT-4-23	IN_FLIGHT-4-17	IN_FLIGHT-2-33	IN_FLIGHT-1-16	IN_FLIGHT-2-20	IN_FLIGHT-2-28	IN_FLIGHT-2-21	IN_FLIGHT-1-34	IN_FLIGHT-1-19	IN_FLIGHT-1-26	IN_FLIGHT-1-31	IN_FLIGHT-1-27	IN_FLIGHT-1-29	
35	0	0	16	3	IN_FLIGHT-3-33	IN_FLIGHT-3-25	IN_FLIGHT-3-23	IN_FLIGHT-3-19	IN_FLIGHT-1-16	IN_FLIGHT-4-31	IN_FLIGHT-4-26	IN_FLIGHT-4-24	IN_FLIGHT-4-18	IN_FLIGHT-2-34	IN_FLIGHT-1-17	IN_FLIGHT-2-21	IN_FLIGHT-2-29	IN_FLIGHT-2-22	IN_FLIGHT-1-35	IN_FLIGHT-1-20	IN_FLIGHT-1-27	IN_FLIGHT-1-32	IN_FLIGHT-1-28	IN_FLIGHT-1-30	
36	0	0	17	3	IN_FLIGHT-3-34	IN_FLIGHT-3-26	IN_FLIGHT-3-24	IN_FLIGHT-3-20	IN_FLIGHT-1-17	IN_FLIGHT-4-32	IN_FLIGHT-4-27	IN_FLIGHT-4-25	IN_FLIGHT-4-19	IN_FLIGHT-2-35	IN_FLIGHT-1-18	IN_FLIGHT-2-22	IN_FLIGHT-2-30	IN_FLIGHT-2-23	IN_FLIGHT-1-36	IN_FLIGHT-1-21	IN_FLIGHT-1-28	IN_FLIGHT-1-33	IN_FLIGHT-1-29	IN_FLIGHT-1-31	
37	0	0	18	3	IN_FLIGHT-3-35	IN_FLIGHT-3-27	IN_FLIGHT-3-25	IN_FLIGHT-3-21	IN_FLIGHT-1-18	IN_FLIGHT-4-33	IN_FLIGHT-4-28	IN_FLIGHT-4-26	IN_FLIGHT-4-20	IN_FLIGHT-2-36	IN_FLIGHT-1-19	IN_FLIGHT-2-23	IN_FLIGHT-2-31	IN_FLIGHT-2-24	IN_FLIGHT-1-37	IN_FLIGHT-1-22	IN_FLIGHT-1-29	IN_FLIGHT-1-34	IN_FLIGHT-1-30	IN_FLIGHT-1-32	
38	0	0	19	2	IN_FLIGHT-3-36	IN_FLIGHT-3-28	IN_FLIGHT-3-26	IN_FLIGHT-3-22	IN_FLIGHT-1-19	IN_FLIGHT-4-34	IN_FLIGHT-4-29	IN_FLIGHT-4-27	IN_FLIGHT-4-21	IN_CHARGE-0	IN_FLIGHT-1-20	IN_FLIGHT-2-24	IN_FLIGHT-2-32	IN_FLIGHT-2-25	IN_FLIGHT-1-38	IN_FLIGHT-1-23	IN_FLIGHT-1-30	IN_FLIGHT-1-35	IN_FLIGHT-1-31	IN_FLIGHT-1-33	
