TmMin	IdleSz	NeedChgQSz	mssnQSz	NumChg	V0	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19
39	0	0	20	2	IN_FLIGHT-3-37	IN_FLIGHT-3-29	IN_FLIGHT-3-27	IN_FLIGHT-3-23	IN_FLIGHT-1-20	IN_FLIGHT-4-35	IN_FLIGHT-4-30	IN_FLIGHT-4-28	IN_FLIGHT-4-22	IN_CHARGE-1	IN_FLIGHT-1-21	IN_FLIGHT-2-25	IN_FLIGHT-2-33	IN_FLIGHT-2-26	IN_FLIGHT-1-39	IN_FLIGHT-1-24	IN_FLIGHT-1-31	IN_FLIGHT-1-36	IN_FLIGHT-1-32	IN_FLIGHT-1-34	
40	0	0	20	2	IN_FLIGHT-3-38	IN_FLIGHT-3-30	IN_FLIGHT-3-28	IN_FLIGHT-3-24	IN_FLIGHT-1-21	IN_FLIGHT-4-36	IN_FLIGHT-4-31	IN_FLIGHT-4-29	IN_FLIGHT-4-23	IN_CHARGE-2	IN_FLIGHT-1-22	IN_FLIGHT-2-26	IN_FLIGHT-2-34	IN_FLIGHT-2-27	IN_FLIGHT-1-40	IN_FLIGHT-1-25	IN_FLIGHT-1-32	IN_FLIGHT-1-37	IN_FLIGHT-1-33	IN_FLIGHT-1-35	
41	0	0	20	2	IN_FLIGHT-3-39	IN_FLIGHT-3-31	IN_FLIGHT-3-29	IN_FLIGHT-3-25	IN_FLIGHT-1-22	IN_FLIGHT-4-37	IN_FLIGHT-4-32	IN_FLIGHT-4-30	IN_FLIGHT-4-24	IN_CHARGE-3	IN_FLIGHT-1-23	IN_FLIGHT-2-27	IN_FLIGHT-2-35	IN_FLIGHT-2-28	IN_FLIGHT-1-41	IN_FLIGHT-1-26	IN_FLIGHT-1-33	IN_FLIGHT-1-38	IN_FLIGHT-1-34	IN_FLIGHT-1-36	
42	0	0	20	2	IN_FLIGHT-3-40	IN_FLIGHT-3-32	IN_FLIGHT-3-30	IN_FLIGHT-3-26	IN_FLIGHT-1-23	IN_FLIGHT-4-38	IN_FLIGHT-4-33	IN_FLIGHT-4-31	IN_FLIGHT-4-25	IN_CHARGE-4	IN_FLIGHT-1-24	IN_FLIGHT-2-28	IN_FLIGHT-2-36	IN_FLIGHT-2-29	IN_FLIGHT-1-42	IN_FLIGHT-1-27	IN_FLIGHT-1-34	IN_FLIGHT-1-39	IN_FLIGHT-1-35	IN_FLIGHT-1-37	
43	0	0	20	0	IN_FLIGHT-3-41	IN_FLIGHT-3-33	IN_FLIGHT-3-31	IN_FLIGHT-3-27	IN_FLIGHT-1-24	IN_CHARGE-0	IN_FLIGHT-4-34	IN_FLIGHT-4-32	IN_FLIGHT-4-26	IN_CHARGE-5	IN_FLIGHT-1-25	IN_FLIGHT-2-29	IN_CHARGE-0	IN_FLIGHT-2-30	IN_FLIGHT-1-43	IN_FLIGHT-1-28	IN_FLIGHT-1-35	IN_FLIGHT-1-40	IN_FLIGHT-1-36	IN_FLIGHT-1-38	
44	0	0	20	0	IN_FLIGHT-3-42	IN_FLIGHT-3-34	IN_FLIGHT-3-32	IN_FLIGHT-3-28	IN_FLIGHT-1-25	IN_CHARGE-1	IN_FLIGHT-4-35	IN_FLIGHT-4-33	IN_FLIGHT-4-27	IN_CHARGE-6	IN_FLIGHT-1-26	IN_FLIGHT-2-30	IN_CHARGE-1	IN_FLIGHT-2-31	IN_FLIGHT-1-44	IN_FLIGHT-1-29	IN_FLIGHT-1-36	IN_FLIGHT-1-41	IN_FLIGHT-1-37	IN_FLIGHT-1-39	
45	0	0	20	0	IN_FLIGHT-3-43	IN_FLIGHT-3-35	IN_FLIGHT-3-33	IN_FLIGHT-3-29	IN_FLIGHT-1-26	IN_CHARGE-2	IN_FLIGHT-4-36	IN_FLIGHT-4-34	IN_FLIGHT-4-28	IN_CHARGE-7	IN_FLIGHT-1-27	IN_FLIGHT-2-31	IN_CHARGE-2	IN_FLIGHT-2-32	IN_FLIGHT-1-45	IN_FLIGHT-1-30	IN_FLIGHT-1-37	IN_FLIGHT-1-42	IN_FLIGHT-1-38	IN_FLIGHT-1-40	
46	0	0	20	0	IN_FLIGHT-3-44	IN_FLIGHT-3-36	IN_FLIGHT-3-34	IN_FLIGHT-3-30	IN_FLIGHT-1-27	IN_CHARGE-3	IN_FLIGHT-4-37	IN_FLIGHT-4-35	IN_FLIGHT-4-29	IN_CHARGE-8	IN_FLIGHT-1-28	IN_FLIGHT-2-32	IN_CHARGE-3	IN_FLIGHT-2-33	IN_FLIGHT-1-46	IN_FLIGHT-1-31	IN_FLIGHT-1-38	IN_FLIGHT-1-43	IN_FLIGHT-1-39	IN_FLIGHT-1-41	
47	0	0	20	0	IN_FLIGHT-3-45	IN_FLIGHT-3-37	IN_FLIGHT-3-35	IN_FLIGHT-3-31	IN_FLIGHT-1-28	IN_CHARGE-4	IN_FLIGHT-4-38	IN_FLIGHT-4-36	IN_FLIGHT-4-30	IN_CHARGE-9	IN_FLIGHT-1-29	IN_FLIGHT-2-33	IN_CHARGE-4	IN_FLIGHT-2-34	IN_FLIGHT-1-47	IN_FLIGHT-1-32	IN_FLIGHT-1-39	IN_FLIGHT-1-44	IN_FLIGHT-1-40	IN_FLIGHT-1-42	
48	0	1	20	0	IN_FLIGHT-3-46	IN_FLIGHT-3-38	IN_FLIGHT-3-36	IN_FLIGHT-3-32	IN_FLIGHT-1-29	IN_CHARGE-5	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-37	IN_FLIGHT-4-31	IN_CHARGE-10	IN_FLIGHT-1-30	IN_FLIGHT-2-34	IN_CHARGE-5	IN_FLIGHT-2-35	IN_FLIGHT-1-48	IN_FLIGHT-1-33	IN_FLIGHT-1-40	IN_FLIGHT-1-45	IN_FLIGHT-1-41	IN_FLIGHT-1-43	
49	0	1	20	0	IN_FLIGHT-3-47	IN_FLIGHT-3-39	IN_FLIGHT-3-37	IN_FLIGHT-3-33	IN_FLIGHT-1-30	IN_CHARGE-6	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-38	IN_FLIGHT-4-32	IN_CHARGE-11	IN_FLIGHT-1-31	IN_FLIGHT-2-35	IN_CHARGE-6	IN_FLIGHT-2-36	IN_FLIGHT-1-49	IN_FLIGHT-1-34	IN_FLIGHT-1-41	IN_FLIGHT-1-46	IN_FLIGHT-1-42	IN_FLIGHT-1-44	
50	0	3	20	0	IN_FLIGHT-3-48	IN_FLIGHT-3-40	IN_FLIGHT-3-38	IN_FLIGHT-3-34	IN_FLIGHT-1-31	IN_CHARGE-7	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-33	IN_CHARGE-12	IN_FLIGHT-1-32	IN_FLIGHT-2-36	IN_CHARGE-7	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-50	IN_FLIGHT-1-35	IN_FLIGHT-1-42	IN_FLIGHT-1-47	IN_FLIGHT-1-43	IN_FLIGHT-1-45	
51	0	4	20	0	IN_FLIGHT-3-49	IN_FLIGHT-3-41	IN_FLIGHT-3-39	IN_FLIGHT-3-35	IN_FLIGHT-1-32	IN_CHARGE-8	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-34	IN_CHARGE-13	IN_FLIGHT-1-33	WAIT_CHARGE-CHARLIE	IN_CHARGE-8	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-51	IN_FLIGHT-1-36	IN_FLIGHT-1-43	IN_FLIGHT-1-48	IN_FLIGHT-1-44	IN_FLIGHT-1-46	
52	0	4	20	0	IN_FLIGHT-3-50	IN_FLIGHT-3-42	IN_FLIGHT-3-40	IN_FLIGHT-3-36	IN_FLIGHT-1-33	IN_CHARGE-9	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-35	IN_CHARGE-14	IN_FLIGHT-1-34	WAIT_CHARGE-CHARLIE	IN_CHARGE-9	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-52	IN_FLIGHT-1-37	IN_FLIGHT-1-44	IN_FLIGHT-1-49	IN_FLIGHT-1-45	IN_FLIGHT-1-47	
53	0	4	20	0	IN_FLIGHT-3-51	IN_FLIGHT-3-43	IN_FLIGHT-3-41	IN_FLIGHT-3-37	IN_FLIGHT-1-34	IN_CHARGE-10	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-36	IN_CHARGE-15	IN_FLIGHT-1-35	WAIT_CHARGE-CHARLIE	IN_CHARGE-10	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-53	IN_FLIGHT-1-38	IN_FLIGHT-1-45	IN_FLIGHT-1-50	IN_FLIGHT-1-46	IN_FLIGHT-1-48	
54	0	5	20	0	IN_FLIGHT-3-52	IN_FLIGHT-3-44	IN_FLIGHT-3-42	IN_FLIGHT-3-38	IN_FLIGHT-1-35	IN_CHARGE-11	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-37	IN_CHARGE-16	IN_FLIGHT-1-36	WAIT_CHARGE-CHARLIE	IN_CHARGE-11	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-54	IN_FLIGHT-1-39	IN_FLIGHT-1-46	WAIT_CHARGE-ECHO	IN_FLIGHT-1-47	IN_FLIGHT-1-49	
55	0	6	20	0	IN_FLIGHT-3-53	IN_FLIGHT-3-45	IN_FLIGHT-3-43	IN_FLIGHT-3-39	IN_FLIGHT-1-36	IN_CHARGE-12	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-38	IN_CHARGE-17	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-12	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-55	IN_FLIGHT-1-40	IN_FLIGHT-1-47	WAIT_CHARGE-ECHO	IN_FLIGHT-1-48	IN_FLIGHT-1-50	
56	0	7	19	0	IN_FLIGHT-3-54	IN_FLIGHT-3-46	IN_FLIGHT-3-44	IN_FLIGHT-3-40	IN_FLIGHT-1-37	IN_FLIGHT-1-0	IN_CHARGE-0	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_CHARGE-18	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-13	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-56	IN_FLIGHT-1-41	IN_FLIGHT-1-48	WAIT_CHARGE-ECHO	IN_FLIGHT-1-49	WAIT_CHARGE-ECHO	
57	0	7	20	0	IN_FLIGHT-3-55	IN_FLIGHT-3-47	IN_FLIGHT-3-45	IN_FLIGHT-3-41	IN_FLIGHT-1-38	IN_FLIGHT-1-1	IN_CHARGE-1	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_CHARGE-19	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-14	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-57	IN_FLIGHT-1-42	IN_FLIGHT-1-49	WAIT_CHARGE-ECHO	IN_FLIGHT-1-50	WAIT_CHARGE-ECHO	
58	0	8	20	0	IN_FLIGHT-3-56	IN_FLIGHT-3-48	IN_FLIGHT-3-46	IN_FLIGHT-3-42	IN_FLIGHT-1-39	IN_FLIGHT-1-2	IN_CHARGE-2	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_CHARGE-20	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-15	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-58	IN_FLIGHT-1-43	IN_FLIGHT-1-50	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
59	0	9	20	0	IN_FLIGHT-3-57	IN_FLIGHT-3-49	IN_FLIGHT-3-47	IN_FLIGHT-3-43	IN_FLIGHT-1-40	IN_FLIGHT-1-3	IN_CHARGE-3	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_CHARGE-21	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-16	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-59	IN_FLIGHT-1-44	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
60	0	9	20	0	IN_FLIGHT-3-58	IN_FLIGHT-3-50	IN_FLIGHT-3-48	IN_FLIGHT-3-44	IN_FLIGHT-1-41	IN_FLIGHT-1-4	IN_CHARGE-4	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_CHARGE-22	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-17	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-60	IN_FLIGHT-1-45	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
61	0	9	20	0	IN_FLIGHT-3-59	IN_FLIGHT-3-51	IN_FLIGHT-3-49	IN_FLIGHT-3-45	IN_FLIGHT-1-42	IN_FLIGHT-1-5	IN_CHARGE-5	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_CHARGE-23	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-18	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-61	IN_FLIGHT-1-46	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
62	0	9	20	0	IN_FLIGHT-3-60	IN_FLIGHT-3-52	IN_FLIGHT-3-50	IN_FLIGHT-3-46	IN_FLIGHT-1-43	IN_FLIGHT-1-6	IN_CHARGE-6	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_CHARGE-24	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-19	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-62	IN_FLIGHT-1-47	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
63	0	9	20	0	IN_FLIGHT-3-61	IN_FLIGHT-3-53	IN_FLIGHT-3-51	IN_FLIGHT-3-47	IN_FLIGHT-1-44	IN_FLIGHT-1-7	IN_CHARGE-7	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_CHARGE-25	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-20	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-63	IN_FLIGHT-1-48	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
64	0	9	20	0	IN_FLIGHT-3-62	IN_FLIGHT-3-54	IN_FLIGHT-3-52	IN_FLIGHT-3-48	IN_FLIGHT-1-45	IN_FLIGHT-1-8	IN_CHARGE-8	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_CHARGE-26	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-21	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-64	IN_FLIGHT-1-49	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
65	0	9	20	0	IN_FLIGHT-3-63	IN_FLIGHT-3-55	IN_FLIGHT-3-53	IN_FLIGHT-3-49	IN_FLIGHT-1-46	IN_FLIGHT-1-9	IN_CHARGE-9	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_CHARGE-27	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-22	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-65	IN_FLIGHT-1-50	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
66	0	9	20	0	IN_FLIGHT-3-64	IN_FLIGHT-3-56	IN_FLIGHT-3-54	IN_FLIGHT-3-50	IN_FLIGHT-1-47	IN_FLIGHT-1-10	IN_CHARGE-10	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_CHARGE-28	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-23	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-66	IN_FLIGHT-1-51	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
67	0	9	20	0	IN_FLIGHT-3-65	IN_FLIGHT-3-57	IN_FLIGHT-3-55	IN_FLIGHT-3-51	IN_FLIGHT-1-48	IN_FLIGHT-1-11	IN_CHARGE-11	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_CHARGE-29	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-24	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-67	IN_FLIGHT-1-52	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
68	0	9	20	0	IN_FLIGHT-3-66	IN_FLIGHT-3-58	IN_FLIGHT-3-56	IN_FLIGHT-3-52	IN_FLIGHT-1-49	IN_FLIGHT-1-12	IN_CHARGE-12	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_CHARGE-30	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-25	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-68	IN_FLIGHT-1-53	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
69	0	8	19	0	IN_FLIGHT-3-67	IN_FLIGHT-3-59	IN_FLIGHT-3-57	IN_FLIGHT-3-53	IN_FLIGHT-1-50	IN_FLIGHT-1-13	IN_FLIGHT-4-0	IN_CHARGE-0	WAIT_CHARGE-BRAVO	IN_CHARGE-31	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-26	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-69	IN_FLIGHT-1-54	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
70	0	8	20	0	IN_FLIGHT-3-68	IN_FLIGHT-3-60	IN_FLIGHT-3-58	IN_FLIGHT-3-54	IN_FLIGHT-1-51	IN_FLIGHT-1-14	IN_FLIGHT-4-1	IN_CHARGE-1	WAIT_CHARGE-BRAVO	IN_CHARGE-32	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-27	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-70	IN_FLIGHT-1-55	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
71	0	8	20	0	IN_FLIGHT-3-69	IN_FLIGHT-3-61	IN_FLIGHT-3-59	IN_FLIGHT-3-55	IN_FLIGHT-1-52	IN_FLIGHT-1-15	IN_FLIGHT-4-2	IN_CHARGE-2	WAIT_CHARGE-BRAVO	IN_CHARGE-33	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-28	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-71	IN_FLIGHT-1-56	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
72	0	8	20	0	IN_FLIGHT-3-70	IN_FLIGHT-3-62	IN_FLIGHT-3-60	IN_FLIGHT-3-56	IN_FLIGHT-1-53	IN_FLIGHT-1-16	IN_FLIGHT-4-3	IN_CHARGE-3	WAIT_CHARGE-BRAVO	IN_CHARGE-34	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-29	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-72	IN_FLIGHT-1-57	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
73	0	8	20	0	IN_FLIGHT-3-71	IN_FLIGHT-3-63	IN_FLIGHT-3-61	IN_FLIGHT-3-57	IN_FLIGHT-1-54	IN_FLIGHT-1-17	IN_FLIGHT-4-4	IN_CHARGE-4	WAIT_CHARGE-BRAVO	IN_CHARGE-35	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-30	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-73	IN_FLIGHT-1-58	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
74	0	8	20	0	IN_FLIGHT-3-72	IN_FLIGHT-3-64	IN_FLIGHT-3-62	IN_FLIGHT-3-58	IN_FLIGHT-1-55	IN_FLIGHT-1-18	IN_FLIGHT-4-5	IN_CHARGE-5	WAIT_CHARGE-BRAVO	IN_CHARGE-36	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-31	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-74	IN_FLIGHT-1-59	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
