TmMin	IdleSz	NeedChgQSz	mssnQSz	NumChg	V0	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19
75	0	8	20	0	IN_FLIGHT-3-73	IN_FLIGHT-3-65	IN_FLIGHT-3-63	IN_FLIGHT-3-59	IN_FLIGHT-1-56	IN_FLIGHT-1-19	IN_FLIGHT-4-6	IN_CHARGE-6	WAIT_CHARGE-BRAVO	IN_CHARGE-37	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-32	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-75	IN_FLIGHT-1-60	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
76	0	8	20	0	IN_FLIGHT-3-74	IN_FLIGHT-3-66	IN_FLIGHT-3-64	IN_FLIGHT-3-60	IN_FLIGHT-1-57	IN_FLIGHT-1-20	IN_FLIGHT-4-7	IN_CHARGE-7	WAIT_CHARGE-BRAVO	IN_CHARGE-38	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-33	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-76	IN_FLIGHT-1-61	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
77	0	8	20	0	IN_FLIGHT-3-75	IN_FLIGHT-3-67	IN_FLIGHT-3-65	IN_FLIGHT-3-61	IN_FLIGHT-1-58	IN_FLIGHT-1-21	IN_FLIGHT-4-8	IN_CHARGE-8	WAIT_CHARGE-BRAVO	IN_CHARGE-39	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-34	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-77	IN_FLIGHT-1-62	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
78	0	8	20	0	IN_FLIGHT-3-76	IN_FLIGHT-3-68	IN_FLIGHT-3-66	IN_FLIGHT-3-62	IN_FLIGHT-1-59	IN_FLIGHT-1-22	IN_FLIGHT-4-9	IN_CHARGE-9	WAIT_CHARGE-BRAVO	IN_CHARGE-40	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-35	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-78	IN_FLIGHT-1-63	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
79	0	8	20	0	IN_FLIGHT-3-77	IN_FLIGHT-3-69	IN_FLIGHT-3-67	IN_FLIGHT-3-63	IN_FLIGHT-1-60	IN_FLIGHT-1-23	IN_FLIGHT-4-10	IN_CHARGE-10	WAIT_CHARGE-BRAVO	IN_CHARGE-41	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-36	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-79	IN_FLIGHT-1-64	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
80	0	8	20	0	IN_FLIGHT-3-78	IN_FLIGHT-3-70	IN_FLIGHT-3-68	IN_FLIGHT-3-64	IN_FLIGHT-1-61	IN_FLIGHT-1-24	IN_FLIGHT-4-11	IN_CHARGE-11	WAIT_CHARGE-BRAVO	IN_CHARGE-42	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-37	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-80	IN_FLIGHT-1-65	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
81	0	8	20	0	IN_FLIGHT-3-79	IN_FLIGHT-3-71	IN_FLIGHT-3-69	IN_FLIGHT-3-65	IN_FLIGHT-1-62	IN_FLIGHT-1-25	IN_FLIGHT-4-12	IN_CHARGE-12	WAIT_CHARGE-BRAVO	IN_CHARGE-43	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-38	WAIT_CHARGE-CHARLIE	IN_FLIGHT-1-81	IN_FLIGHT-1-66	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
82	0	7	19	0	IN_FLIGHT-3-80	IN_FLIGHT-3-72	IN_FLIGHT-3-70	IN_FLIGHT-3-66	IN_FLIGHT-1-63	IN_FLIGHT-1-26	IN_FLIGHT-4-13	IN_FLIGHT-1-0	WAIT_CHARGE-BRAVO	IN_CHARGE-44	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-39	IN_CHARGE-0	IN_FLIGHT-1-82	IN_FLIGHT-1-67	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
83	0	7	20	0	IN_FLIGHT-3-81	IN_FLIGHT-3-73	IN_FLIGHT-3-71	IN_FLIGHT-3-67	IN_FLIGHT-1-64	IN_FLIGHT-1-27	IN_FLIGHT-4-14	IN_FLIGHT-1-1	WAIT_CHARGE-BRAVO	IN_CHARGE-45	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-40	IN_CHARGE-1	IN_FLIGHT-1-83	IN_FLIGHT-1-68	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
84	0	7	20	0	IN_FLIGHT-3-82	IN_FLIGHT-3-74	IN_FLIGHT-3-72	IN_FLIGHT-3-68	IN_FLIGHT-1-65	IN_FLIGHT-1-28	IN_FLIGHT-4-15	IN_FLIGHT-1-2	WAIT_CHARGE-BRAVO	IN_CHARGE-46	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-41	IN_CHARGE-2	IN_FLIGHT-1-84	IN_FLIGHT-1-69	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
85	0	7	20	0	IN_FLIGHT-3-83	IN_FLIGHT-3-75	IN_FLIGHT-3-73	IN_FLIGHT-3-69	IN_FLIGHT-1-66	IN_FLIGHT-1-29	IN_FLIGHT-4-16	IN_FLIGHT-1-3	WAIT_CHARGE-BRAVO	IN_CHARGE-47	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-42	IN_CHARGE-3	IN_FLIGHT-1-85	IN_FLIGHT-1-70	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
86	0	7	20	0	IN_FLIGHT-3-84	IN_FLIGHT-3-76	IN_FLIGHT-3-74	IN_FLIGHT-3-70	IN_FLIGHT-1-67	IN_FLIGHT-1-30	IN_FLIGHT-4-17	IN_FLIGHT-1-4	WAIT_CHARGE-BRAVO	IN_CHARGE-48	WAIT_CHARGE-CHARLIE	WAIT_CHARGE-CHARLIE	IN_CHARGE-43	IN_CHARGE-4	IN_FLIGHT-1-86	IN_FLIGHT-1-71	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
87	0	6	19	0	IN_FLIGHT-3-85	IN_FLIGHT-3-77	IN_FLIGHT-3-75	IN_FLIGHT-3-71	IN_FLIGHT-1-68	IN_FLIGHT-1-31	IN_FLIGHT-4-18	IN_FLIGHT-1-5	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-0	WAIT_CHARGE-CHARLIE	IN_CHARGE-0	IN_CHARGE-44	IN_CHARGE-5	IN_FLIGHT-1-87	IN_FLIGHT-1-72	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
88	0	6	20	0	IN_FLIGHT-3-86	IN_FLIGHT-3-78	IN_FLIGHT-3-76	IN_FLIGHT-3-72	IN_FLIGHT-1-69	IN_FLIGHT-1-32	IN_FLIGHT-4-19	IN_FLIGHT-1-6	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-1	WAIT_CHARGE-CHARLIE	IN_CHARGE-1	IN_CHARGE-45	IN_CHARGE-6	IN_FLIGHT-1-88	IN_FLIGHT-1-73	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
89	0	6	20	0	IN_FLIGHT-3-87	IN_FLIGHT-3-79	IN_FLIGHT-3-77	IN_FLIGHT-3-73	IN_FLIGHT-1-70	IN_FLIGHT-1-33	IN_FLIGHT-4-20	IN_FLIGHT-1-7	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-2	WAIT_CHARGE-CHARLIE	IN_CHARGE-2	IN_CHARGE-46	IN_CHARGE-7	IN_FLIGHT-1-89	IN_FLIGHT-1-74	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
90	0	6	20	0	IN_FLIGHT-3-88	IN_FLIGHT-3-80	IN_FLIGHT-3-78	IN_FLIGHT-3-74	IN_FLIGHT-1-71	IN_FLIGHT-1-34	IN_FLIGHT-4-21	IN_FLIGHT-1-8	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-3	WAIT_CHARGE-CHARLIE	IN_CHARGE-3	IN_CHARGE-47	IN_CHARGE-8	IN_FLIGHT-1-90	IN_FLIGHT-1-75	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
91	0	6	20	0	IN_FLIGHT-3-89	IN_FLIGHT-3-81	IN_FLIGHT-3-79	IN_FLIGHT-3-75	IN_FLIGHT-1-72	IN_FLIGHT-1-35	IN_FLIGHT-4-22	IN_FLIGHT-1-9	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-4	WAIT_CHARGE-CHARLIE	IN_CHARGE-4	IN_CHARGE-48	IN_CHARGE-9	IN_FLIGHT-1-91	IN_FLIGHT-1-76	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
92	0	5	19	0	IN_FLIGHT-3-90	IN_FLIGHT-3-82	IN_FLIGHT-3-80	IN_FLIGHT-3-76	IN_FLIGHT-1-73	IN_FLIGHT-1-36	IN_FLIGHT-4-23	IN_FLIGHT-1-10	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-5	WAIT_CHARGE-CHARLIE	IN_CHARGE-5	IN_FLIGHT-2-0	IN_CHARGE-10	IN_FLIGHT-1-92	IN_FLIGHT-1-77	WAIT_CHARGE-ECHO	IN_CHARGE-0	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
93	0	5	20	0	IN_FLIGHT-3-91	IN_FLIGHT-3-83	IN_FLIGHT-3-81	IN_FLIGHT-3-77	IN_FLIGHT-1-74	IN_FLIGHT-1-37	IN_FLIGHT-4-24	IN_FLIGHT-1-11	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-6	WAIT_CHARGE-CHARLIE	IN_CHARGE-6	IN_FLIGHT-2-1	IN_CHARGE-11	IN_FLIGHT-1-93	IN_FLIGHT-1-78	WAIT_CHARGE-ECHO	IN_CHARGE-1	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
94	0	5	20	0	IN_FLIGHT-3-92	IN_FLIGHT-3-84	IN_FLIGHT-3-82	IN_FLIGHT-3-78	IN_FLIGHT-1-75	IN_FLIGHT-1-38	IN_FLIGHT-4-25	IN_FLIGHT-1-12	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-7	WAIT_CHARGE-CHARLIE	IN_CHARGE-7	IN_FLIGHT-2-2	IN_CHARGE-12	IN_FLIGHT-1-94	IN_FLIGHT-1-79	WAIT_CHARGE-ECHO	IN_CHARGE-2	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
95	0	6	20	0	IN_FLIGHT-3-93	IN_FLIGHT-3-85	IN_FLIGHT-3-83	IN_FLIGHT-3-79	IN_FLIGHT-1-76	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-26	IN_FLIGHT-1-13	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-8	WAIT_CHARGE-CHARLIE	IN_CHARGE-8	IN_FLIGHT-2-3	IN_CHARGE-13	IN_FLIGHT-1-95	IN_FLIGHT-1-80	WAIT_CHARGE-ECHO	IN_CHARGE-3	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
96	0	6	20	0	IN_FLIGHT-3-94	IN_FLIGHT-3-86	IN_FLIGHT-3-84	IN_FLIGHT-3-80	IN_FLIGHT-1-77	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-27	IN_FLIGHT-1-14	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-9	WAIT_CHARGE-CHARLIE	IN_CHARGE-9	IN_FLIGHT-2-4	IN_CHARGE-14	IN_FLIGHT-1-96	IN_FLIGHT-1-81	WAIT_CHARGE-ECHO	IN_CHARGE-4	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
97	0	6	20	0	IN_FLIGHT-3-95	IN_FLIGHT-3-87	IN_FLIGHT-3-85	IN_FLIGHT-3-81	IN_FLIGHT-1-78	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-28	IN_FLIGHT-1-15	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-10	WAIT_CHARGE-CHARLIE	IN_CHARGE-10	IN_FLIGHT-2-5	IN_CHARGE-15	IN_FLIGHT-1-97	IN_FLIGHT-1-82	WAIT_CHARGE-ECHO	IN_CHARGE-5	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
98	0	6	20	0	IN_FLIGHT-3-96	IN_FLIGHT-3-88	IN_FLIGHT-3-86	IN_FLIGHT-3-82	IN_FLIGHT-1-79	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-29	IN_FLIGHT-1-16	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-11	WAIT_CHARGE-CHARLIE	IN_CHARGE-11	IN_FLIGHT-2-6	IN_CHARGE-16	IN_FLIGHT-1-98	IN_FLIGHT-1-83	WAIT_CHARGE-ECHO	IN_CHARGE-6	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
99	0	7	20	0	IN_FLIGHT-3-97	IN_FLIGHT-3-89	IN_FLIGHT-3-87	IN_FLIGHT-3-83	IN_FLIGHT-1-80	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-30	IN_FLIGHT-1-17	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-12	WAIT_CHARGE-CHARLIE	IN_CHARGE-12	IN_FLIGHT-2-7	IN_CHARGE-17	WAIT_CHARGE-DELTA	IN_FLIGHT-1-84	WAIT_CHARGE-ECHO	IN_CHARGE-7	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
100	0	7	20	0	IN_FLIGHT-3-98	IN_FLIGHT-3-90	IN_FLIGHT-3-88	IN_FLIGHT-3-84	IN_FLIGHT-1-81	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-31	IN_FLIGHT-1-18	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-13	WAIT_CHARGE-CHARLIE	IN_CHARGE-13	IN_FLIGHT-2-8	IN_CHARGE-18	WAIT_CHARGE-DELTA	IN_FLIGHT-1-85	WAIT_CHARGE-ECHO	IN_CHARGE-8	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
101	0	8	20	0	WAIT_CHARGE-ALPHA	IN_FLIGHT-3-91	IN_FLIGHT-3-89	IN_FLIGHT-3-85	IN_FLIGHT-1-82	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-32	IN_FLIGHT-1-19	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-14	WAIT_CHARGE-CHARLIE	IN_CHARGE-14	IN_FLIGHT-2-9	IN_CHARGE-19	WAIT_CHARGE-DELTA	IN_FLIGHT-1-86	WAIT_CHARGE-ECHO	IN_CHARGE-9	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
102	0	8	20	0	WAIT_CHARGE-ALPHA	IN_FLIGHT-3-92	IN_FLIGHT-3-90	IN_FLIGHT-3-86	IN_FLIGHT-1-83	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-33	IN_FLIGHT-1-20	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-15	WAIT_CHARGE-CHARLIE	IN_CHARGE-15	IN_FLIGHT-2-10	IN_CHARGE-20	WAIT_CHARGE-DELTA	IN_FLIGHT-1-87	WAIT_CHARGE-ECHO	IN_CHARGE-10	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
103	0	8	20	0	WAIT_CHARGE-ALPHA	IN_FLIGHT-3-93	IN_FLIGHT-3-91	IN_FLIGHT-3-87	IN_FLIGHT-1-84	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-34	IN_FLIGHT-1-21	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-16	WAIT_CHARGE-CHARLIE	IN_CHARGE-16	IN_FLIGHT-2-11	IN_CHARGE-21	WAIT_CHARGE-DELTA	IN_FLIGHT-1-88	WAIT_CHARGE-ECHO	IN_CHARGE-11	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
104	0	8	20	0	WAIT_CHARGE-ALPHA	IN_FLIGHT-3-94	IN_FLIGHT-3-92	IN_FLIGHT-3-88	IN_FLIGHT-1-85	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-35	IN_FLIGHT-1-22	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-17	WAIT_CHARGE-CHARLIE	IN_CHARGE-17	IN_FLIGHT-2-12	IN_CHARGE-22	WAIT_CHARGE-DELTA	IN_FLIGHT-1-89	WAIT_CHARGE-ECHO	IN_CHARGE-12	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
105	0	8	20	0	WAIT_CHARGE-ALPHA	IN_FLIGHT-3-95	IN_FLIGHT-3-93	IN_FLIGHT-3-89	IN_FLIGHT-1-86	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-36	IN_FLIGHT-1-23	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-18	WAIT_CHARGE-CHARLIE	IN_CHARGE-18	IN_FLIGHT-2-13	IN_CHARGE-23	WAIT_CHARGE-DELTA	IN_FLIGHT-1-90	WAIT_CHARGE-ECHO	IN_CHARGE-13	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
106	0	8	20	0	WAIT_CHARGE-ALPHA	IN_FLIGHT-3-96	IN_FLIGHT-3-94	IN_FLIGHT-3-90	IN_FLIGHT-1-87	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-37	IN_FLIGHT-1-24	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-19	WAIT_CHARGE-CHARLIE	IN_CHARGE-19	IN_FLIGHT-2-14	IN_CHARGE-24	WAIT_CHARGE-DELTA	IN_FLIGHT-1-91	WAIT_CHARGE-ECHO	IN_CHARGE-14	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
107	0	8	20	0	WAIT_CHARGE-ALPHA	IN_FLIGHT-3-97	IN_FLIGHT-3-95	IN_FLIGHT-3-91	IN_FLIGHT-1-88	WAIT_CHARGE-BRAVO	IN_FLIGHT-4-38	IN_FLIGHT-1-25	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-20	WAIT_CHARGE-CHARLIE	IN_CHARGE-20	IN_FLIGHT-2-15	IN_CHARGE-25	WAIT_CHARGE-DELTA	IN_FLIGHT-1-92	WAIT_CHARGE-ECHO	IN_CHARGE-15	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
108	0	9	20	0	WAIT_CHARGE-ALPHA	IN_FLIGHT-3-98	IN_FLIGHT-3-96	IN_FLIGHT-3-92	IN_FLIGHT-1-89	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-26	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-21	WAIT_CHARGE-CHARLIE	IN_CHARGE-21	IN_FLIGHT-2-16	IN_CHARGE-26	WAIT_CHARGE-DELTA	IN_FLIGHT-1-93	WAIT_CHARGE-ECHO	IN_CHARGE-16	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
109	0	10	20	0	WAIT_CHARGE-ALPHA	WAIT_CHARGE-ALPHA	IN_FLIGHT-3-97	IN_FLIGHT-3-93	IN_FLIGHT-1-90	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-27	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-22	WAIT_CHARGE-CHARLIE	IN_CHARGE-22	IN_FLIGHT-2-17	IN_CHARGE-27	WAIT_CHARGE-DELTA	IN_FLIGHT-1-94	WAIT_CHARGE-ECHO	IN_CHARGE-17	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
110	0	10	20	0	WAIT_CHARGE-ALPHA	WAIT_CHARGE-ALPHA	IN_FLIGHT-3-98	IN_FLIGHT-3-94	IN_FLIGHT-1-91	WAIT_CHARGE-BRAVO	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-28	WAIT_CHARGE-BRAVO	IN_FLIGHT-1-23	WAIT_CHARGE-CHARLIE	IN_CHARGE-23	IN_FLIGHT-2-18	IN_CHARGE-28	WAIT_CHARGE-DELTA	IN_FLIGHT-1-95	WAIT_CHARGE-ECHO	IN_CHARGE-18	WAIT_CHARGE-ECHO	WAIT_CHARGE-ECHO	
